,Title,Link,Date,Summary,Thumbnail
46,Urania e Nolfin consolidano la partnership per la stagione 20/21,http://www.uraniabasket.it/news/356731227654/urania-e-nolfin-consolidano-la-partnership-per-la-stagione-20-21,2020-09-04,Urania Basket Milano è lieta di annunciare il proseguo del rapporto di collaborazione con NOLFIN anche per la Stagione...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_85829375189_1599227838504373.png
47,Giovani Wildcats con licenza di stupire,http://www.uraniabasket.it/news/150572797446/giovani-wildcats-con-licenza-di-stupire,2020-09-01,"Rimpolpa il roster Urania che va ad allungare la propria panchina con due giovani interessanti.

Matteo Franco, che avrà la maglia numero 25,...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_25699833045_1598978175381194.jpg
48,Let's Start! Stagione 2020/2021,http://www.uraniabasket.it/news/425450704390/let-s-start-stagione-2020-2021,2020-09-01,Let’s start again! Urania riparte oggi con le visite mediche sportive presso lo Sponsors AreaMedica22 dopo la lunga sosta ed...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_300577739989_1598954962436527.png
49,Urania e Vizual insieme per la stagione 2020/2021,http://www.uraniabasket.it/news/13133843974/urania-e-vizual-insieme-per-la-stagione-2020-2021,2020-08-31,"Urania Basket Milano è lieta di annunciare l’inizio del rapporto di collaborazione con VIZUAL per la Stagione 2020/2021.

Chi...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_231858263253_1598892524561114.png
50,Programma allenamenti dal 30 al 6 settembre,http://www.uraniabasket.it/news/288011750918/programma-allenamenti-dal-30-al-6-settembre,2020-08-28,Pubblichiamo programma allenamenti per quanto riguarda il Settore Giovanile Urania per la settimana che va da lunedì 31 agosto a domenica 6...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_506736170197_1598642247463422.jpg
51,Urania e Areamedica22 insieme per la Stagione 20/21,http://www.uraniabasket.it/news/270831881734/urania-e-areamedica22-insieme-per-la-stagione-20-21,2020-08-28,Urania Basket Milano è lieta di annunciare l’inizio del rapporto di collaborazione con AREA MEDICA 22 per la Stagione...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_455196562645_1598630051712121.png
52,E' iniziata la stagione agonistica 2020-2021,http://www.uraniabasket.it/news/545709788678/e-iniziata-la-stagione-agonistica-2020-2021,2020-08-25,"E' forse una delle più belle notizie che potevamo scrivere! Dopo sei mesi di attività bloccata, finalmente lunedì 24 agosto...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_317757609173_1598340621434105.jpg
53,La nostra casa si sta facendo bella,http://www.uraniabasket.it/news/133392928262/la-nostra-casa-si-sta-facendo-bella,2020-08-25,"In questi giorni la palestra secondaria del Palalido è in ristutturazione. Diventerà una casa più accogliente, bella e...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_145958917333_159833991857964.jpg
54,Inizio attività giovanili in Via Parri a Bisceglie,http://www.uraniabasket.it/news/408270835206/inizio-attivita-giovanili-in-via-parri-a-bisceglie,2020-08-23,"In conseguenza del ritardo della fine dei lavori di ristrutturazione presso la palestra secondaria del Palalido, si comunica che gli allenamenti del...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_420836824277_1598196707930259.jpg
55,Urania e VIVA International insieme per la Stagione 2020/2021,http://www.uraniabasket.it/news/202112404998/urania-e-viva-international-insieme-per-la-stagione-2020-2021,2020-08-21,Urania Basket Milano è lieta di annunciare l’inizio del rapporto di collaborazione con VIVA International per la Stagione...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_489556301013_1598005288608937.png
56,Riprende l'attività giovanile programma 24-30 agosto,http://www.uraniabasket.it/news/476990311942/riprende-l-attivita-giovanile-programma-24-30-agosto,2020-08-16,"Siamo lieti di pubblicare il primo programma settimanale per la ripresa degli allenamenti del Settore Giovanile, stagione 2020-2021, per la settimana...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_77239440597_1597617784487772.jpg
